,state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
0,Washington,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Corporate Auto,3,1,Agent,Two-Door Car,Medsize
1,Arizona,No,Extended,Bachelor,2011-01-31,Unemployed,F,Suburban,Single,Personal Auto,3,3,Agent,Four-Door Car,Medsize
2,Nevada,No,Premium,Bachelor,2011-02-19,Employed,F,Suburban,Married,Personal Auto,3,1,Agent,Two-Door Car,Medsize
3,California,No,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Call Center,SUV,Medsize
4,Washington,No,Basic,Bachelor,2011-02-03,Employed,M,Rural,Single,Personal Auto,1,1,Agent,Four-Door Car,Medsize
5,Oregon,Yes,Basic,Bachelor,2011-01-25,Employed,F,Rural,Married,Personal Auto,3,2,Web,Two-Door Car,Medsize
6,Oregon,Yes,Basic,College,2011-02-24,Employed,F,Suburban,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize
7,Arizona,No,Premium,Master,2011-01-18,Unemployed,M,Urban,Single,Corporate Auto,3,1,Agent,Four-Door Car,Medsize
8,Oregon,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Corporate Auto,3,1,Agent,Four-Door Car,Medsize
9,Oregon,No,Extended,College,2011-02-17,Employed,F,Urban,Married,Special Auto,2,2,Branch,Four-Door Car,Medsize
10,California,No,Basic,College,2011-02-21,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small
11,California,No,Basic,College,2011-01-06,Unemployed,F,Suburban,Married,Personal Auto,3,2,Agent,SUV,Medsize
12,California,No,Premium,Master,2011-02-06,Employed,M,Urban,Married,Corporate Auto,1,2,Agent,Four-Door Car,Medsize
13,Arizona,Yes,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Corporate Auto,3,2,Branch,SUV,Medsize
14,California,No,Basic,College,2011-01-18,Employed,M,Urban,Single,Corporate Auto,3,4,Call Center,Four-Door Car,Medsize
15,Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate Auto,2,2,Branch,Four-Door Car,Medsize
16,Nevada,No,Basic,High School or Below,2011-02-06,Medical Leave,M,Suburban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Medsize
17,California,No,Basic,College,2011-01-05,Medical Leave,M,Suburban,Married,Personal Auto,2,3,Call Center,SUV,Medsize
18,Oregon,No,Basic,College,2011-02-27,Employed,M,Urban,Married,Personal Auto,2,2,Branch,Four-Door Car,Medsize
19,California,No,Premium,High School or Below,2011-01-14,Employed,F,Suburban,Married,Corporate Auto,2,1,Call Center,Four-Door Car,Small
20,Oregon,No,Basic,High School or Below,2011-02-19,Employed,M,Suburban,Single,Personal Auto,2,1,Branch,Two-Door Car,Medsize
21,Washington,No,Extended,Bachelor,2011-01-21,Disabled,F,Suburban,Divorced,Personal Auto,3,4,Call Center,Four-Door Car,Medsize
22,Arizona,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Medsize
