,alpha_customer,customer,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,policy_n,renew_offer_type,sales_channel,vehicle_class,vehicle_size
0,BU,79786,Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L,3,1,Agent,Two-Door Car,Medsize
1,QZ,44356,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L,3,3,Agent,Four-Door Car,Medsize
2,AI,49188,Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L,3,1,Agent,Two-Door Car,Medsize
3,WW,63253,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L,2,1,Call Center,SUV,Medsize
4,HB,64268,Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L,1,1,Agent,Four-Door Car,Medsize
5,OC,83172,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L,3,2,Web,Two-Door Car,Medsize
6,XZ,87318,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L,3,1,Agent,Four-Door Car,Medsize
7,CF,85061,Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate Auto,Corporate L,3,1,Agent,Four-Door Car,Medsize
8,DY,87989,Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate Auto,Corporate L,3,1,Agent,Four-Door Car,Medsize
9,BQ,94931,Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,Special L,2,2,Branch,Four-Door Car,Medsize
10,SX,51350,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Small
11,VQ,65197,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L,3,2,Agent,SUV,Medsize
12,DP,39365,California,No,Premium,Master,Employed,M,Urban,Married,Corporate Auto,Corporate L,1,2,Agent,Four-Door Car,Medsize
13,SJ,95423,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L,3,2,Branch,SUV,Medsize
14,IL,66569,California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,Corporate L,3,4,Call Center,Four-Door Car,Medsize
15,BW,63560,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L,2,2,Branch,Four-Door Car,Medsize
16,FV,94802,Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal Auto,Personal L,3,2,Call Center,Two-Door Car,Medsize
17,OE,15005,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L,2,3,Call Center,SUV,Medsize
18,WC,83389,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L,2,2,Branch,Four-Door Car,Medsize
19,FL,50705,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Corporate L,2,1,Call Center,Four-Door Car,Small
20,ZK,25313,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L,2,1,Branch,Two-Door Car,Medsize
21,SV,62436,Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Personal Auto,Personal L,3,4,Call Center,Four-Door Car,Medsize
22,YH,23384,Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Medsize
23,TZ,98966,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L,3,1,Branch,Four-Door Car,Medsize
24,HM,55802,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Corporate Auto,Corporate L,2,2,Branch,Four-Door Car,Medsize
25,FS,42516,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L,3,2,Call Center,Four-Door Car,Large
26,US,89481,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Small
27,HO,30839,Washington,No,Extended,Master,Disabled,F,Urban,Married,Corporate Auto,Corporate L,1,1,Branch,SUV,Medsize
28,GE,62437,Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,Personal L,3,1,Call Center,Four-Door Car,Large
29,EJ,77678,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Personal L,3,2,Branch,Four-Door Car,Small
30,SV,85652,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L,2,4,Call Center,Four-Door Car,Small
31,UL,64533,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,Corporate L,2,2,Agent,Luxury SUV,Medsize
32,PF,41800,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,Personal L,3,1,Call Center,Four-Door Car,Medsize
33,AO,98601,Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L,2,1,Agent,Two-Door Car,Small
34,SK,67821,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L,1,3,Web,Four-Door Car,Medsize
35,YV,55495,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L,1,1,Branch,Four-Door Car,Medsize
36,KY,38074,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Small
37,DM,79012,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Personal L,3,2,Web,Four-Door Car,Small
38,CM,61827,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L,2,3,Agent,Two-Door Car,Small
39,WC,35801,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Personal L,3,1,Call Center,Four-Door Car,Medsize
40,QG,25316,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L,3,3,Call Center,Two-Door Car,Medsize
41,MB,98372,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,Corporate L,3,2,Agent,Two-Door Car,Medsize
42,IL,19217,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L,2,2,Agent,Four-Door Car,Small
43,SR,38658,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,2,4,Agent,Sports Car,Medsize
44,DH,41343,Washington,No,Basic,College,Employed,M,Suburban,Married,Special Auto,Special L,2,2,Call Center,Four-Door Car,Large
45,HG,65722,Oregon,No,Premium,Doctor,Disabled,F,Rural,Married,Personal Auto,Personal L,2,1,Branch,SUV,Medsize
46,BU,27331,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L,3,3,Call Center,Four-Door Car,Medsize
47,XM,45289,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Personal L,2,4,Agent,Two-Door Car,Medsize
48,KP,34198,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L,2,2,Call Center,Four-Door Car,Medsize
49,SH,90947,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L,2,4,Branch,Four-Door Car,Medsize
50,WE,95729,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L,2,1,Agent,SUV,Small
51,PY,51963,California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L,1,1,Web,SUV,Medsize
52,RB,69909,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Special L,1,4,Branch,Four-Door Car,Medsize
53,XR,95069,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L,3,4,Agent,Four-Door Car,Medsize
54,FR,46645,California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Personal Auto,Personal L,2,1,Branch,Four-Door Car,Small
55,SY,17488,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L,3,3,Call Center,Four-Door Car,Small
56,AP,67935,California,No,Basic,College,Employed,M,Urban,Married,Special Auto,Special L,2,2,Branch,Four-Door Car,Medsize
57,FS,37417,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L,2,1,Call Center,SUV,Small
58,ML,29312,Oregon,No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Personal Auto,Personal L,3,1,Call Center,SUV,Medsize
59,UB,61619,Oregon,No,Premium,Master,Disabled,F,Suburban,Divorced,Personal Auto,Personal L,1,1,Agent,Four-Door Car,Medsize
60,CD,86811,Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Personal L,1,1,Agent,Four-Door Car,Medsize
61,RU,83859,California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Personal L,3,1,Call Center,Two-Door Car,Small
62,FG,63582,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L,3,1,Agent,Two-Door Car,Small
63,NN,71951,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L,3,1,Agent,SUV,Medsize
64,WB,37082,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L,3,3,Branch,Four-Door Car,Large
65,SM,52139,Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L,3,3,Web,Four-Door Car,Medsize
66,FL,82372,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L,3,1,Agent,SUV,Medsize
67,DP,45816,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L,3,4,Branch,Two-Door Car,Small
68,GW,33762,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L,3,1,Call Center,Two-Door Car,Large
69,RZ,33670,California,No,Premium,College,Disabled,F,Suburban,Married,Personal Auto,Personal L,3,3,Web,Four-Door Car,Medsize
70,PY,70169,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Personal L,3,4,Agent,SUV,Medsize
71,MO,91628,Oregon,No,Basic,Master,Employed,M,Rural,Married,Personal Auto,Personal L,2,2,Web,Two-Door Car,Large
