,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,sales_channel,vehicle_class,vehicle_size
0,Washington,0,1,2,Employed,0,Suburban,Married,Corporate Auto,3,Agent,Two-Door Car,2
1,Arizona,0,2,2,Unemployed,0,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,2
2,Nevada,0,3,2,Employed,0,Suburban,Married,Personal Auto,3,Agent,Two-Door Car,2
3,California,0,1,2,Unemployed,1,Suburban,Married,Corporate Auto,2,Call Center,SUV,2
4,Washington,0,1,2,Employed,1,Rural,Single,Personal Auto,1,Agent,Four-Door Car,2
5,Oregon,1,1,2,Employed,0,Rural,Married,Personal Auto,3,Web,Two-Door Car,2
6,Oregon,1,1,2,Employed,0,Suburban,Married,Corporate Auto,3,Agent,Four-Door Car,2
7,Arizona,0,3,3,Unemployed,1,Urban,Single,Corporate Auto,3,Agent,Four-Door Car,2
8,Oregon,1,1,2,Medical Leave,1,Suburban,Divorced,Corporate Auto,3,Agent,Four-Door Car,2
9,Oregon,0,2,2,Employed,0,Urban,Married,Special Auto,2,Branch,Four-Door Car,2
10,California,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,1
11,California,0,1,2,Unemployed,0,Suburban,Married,Personal Auto,3,Agent,SUV,2
12,California,0,3,3,Employed,1,Urban,Married,Corporate Auto,1,Agent,Four-Door Car,2
13,Arizona,1,1,1,Employed,1,Suburban,Married,Corporate Auto,3,Branch,SUV,2
14,California,0,1,2,Employed,1,Urban,Single,Corporate Auto,3,Call Center,Four-Door Car,2
15,Oregon,0,1,2,Employed,0,Rural,Married,Corporate Auto,2,Branch,Four-Door Car,2
16,Nevada,0,1,1,Medical Leave,1,Suburban,Married,Personal Auto,3,Call Center,Two-Door Car,2
17,California,0,1,2,Medical Leave,1,Suburban,Married,Personal Auto,2,Call Center,SUV,2
18,Oregon,0,1,2,Employed,1,Urban,Married,Personal Auto,2,Branch,Four-Door Car,2
19,California,0,3,1,Employed,0,Suburban,Married,Corporate Auto,2,Call Center,Four-Door Car,1
20,Oregon,0,1,1,Employed,1,Suburban,Single,Personal Auto,2,Branch,Two-Door Car,2
21,Washington,0,2,2,Disabled,0,Suburban,Divorced,Personal Auto,3,Call Center,Four-Door Car,2
22,Arizona,1,1,2,Medical Leave,1,Suburban,Divorced,Personal Auto,3,Agent,Four-Door Car,2
23,Nevada,0,1,2,Unemployed,0,Suburban,Single,Corporate Auto,3,Branch,Four-Door Car,2
24,California,0,1,2,Disabled,0,Suburban,Married,Corporate Auto,2,Branch,Four-Door Car,2
25,Oregon,0,1,2,Employed,1,Suburban,Married,Personal Auto,3,Call Center,Four-Door Car,3
26,California,0,3,2,Unemployed,0,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,1
27,Washington,0,2,3,Disabled,0,Urban,Married,Corporate Auto,1,Branch,SUV,2
