,coverage,education,employment_status,gender,location_code,marital_status,vehicle_class,vehicle_size
0,1,2,Employed,0,Suburban,Married,Two-Door Car,2
1,2,2,Unemployed,0,Suburban,Single,Four-Door Car,2
2,3,2,Employed,0,Suburban,Married,Two-Door Car,2
3,1,2,Unemployed,1,Suburban,Married,SUV,2
4,1,2,Employed,1,Rural,Single,Four-Door Car,2
5,1,2,Employed,0,Rural,Married,Two-Door Car,2
6,1,2,Employed,0,Suburban,Married,Four-Door Car,2
7,3,3,Unemployed,1,Urban,Single,Four-Door Car,2
8,1,2,Medical Leave,1,Suburban,Divorced,Four-Door Car,2
9,2,2,Employed,0,Urban,Married,Four-Door Car,2
10,1,2,Unemployed,1,Suburban,Single,Four-Door Car,1
11,1,2,Unemployed,0,Suburban,Married,SUV,2
12,3,3,Employed,1,Urban,Married,Four-Door Car,2
13,1,1,Employed,1,Suburban,Married,SUV,2
14,1,2,Employed,1,Urban,Single,Four-Door Car,2
15,1,2,Employed,0,Rural,Married,Four-Door Car,2
16,1,1,Medical Leave,1,Suburban,Married,Two-Door Car,2
17,1,2,Medical Leave,1,Suburban,Married,SUV,2
18,1,2,Employed,1,Urban,Married,Four-Door Car,2
19,3,1,Employed,0,Suburban,Married,Four-Door Car,1
20,1,1,Employed,1,Suburban,Single,Two-Door Car,2
21,2,2,Disabled,0,Suburban,Divorced,Four-Door Car,2
22,1,2,Medical Leave,1,Suburban,Divorced,Four-Door Car,2
23,1,2,Unemployed,0,Suburban,Single,Four-Door Car,2
24,1,2,Disabled,0,Suburban,Married,Four-Door Car,2
25,1,2,Employed,1,Suburban,Married,Four-Door Car,3
26,3,2,Unemployed,0,Suburban,Single,Four-Door Car,1
27,2,3,Disabled,0,Urban,Married,SUV,2
28,3,2,Employed,0,Suburban,Single,Four-Door Car,3
29,2,3,Employed,0,Suburban,Married,Four-Door Car,1
30,1,2,Employed,1,Suburban,Married,Four-Door Car,1
31,2,1,Employed,1,Urban,Married,Luxury SUV,2
32,1,2,Unemployed,1,Urban,Married,Four-Door Car,2
33,1,2,Employed,1,Suburban,Married,Two-Door Car,1
34,1,2,Employed,0,Rural,Married,Four-Door Car,2
35,1,1,Employed,0,Urban,Married,Four-Door Car,2
36,3,2,Employed,1,Suburban,Married,Four-Door Car,1
37,2,3,Employed,0,Suburban,Married,Four-Door Car,1
38,2,2,Unemployed,1,Suburban,Single,Two-Door Car,1
39,1,1,Employed,1,Rural,Divorced,Four-Door Car,2
40,1,1,Unemployed,0,Suburban,Married,Two-Door Car,2
41,1,2,Employed,0,Rural,Single,Two-Door Car,2
42,2,2,Employed,0,Suburban,Married,Four-Door Car,1
43,1,1,Employed,1,Suburban,Married,Sports Car,2
44,1,2,Employed,1,Suburban,Married,Four-Door Car,3
45,3,4,Disabled,0,Rural,Married,SUV,2
46,1,2,Unemployed,1,Suburban,Single,Four-Door Car,2
47,1,1,Employed,0,Suburban,Single,Two-Door Car,2
48,2,2,Unemployed,0,Suburban,Married,Four-Door Car,2
49,1,1,Unemployed,0,Suburban,Married,Four-Door Car,2
50,1,2,Employed,1,Suburban,Married,SUV,1
51,1,2,Employed,0,Suburban,Divorced,SUV,2
52,1,1,Employed,0,Rural,Married,Four-Door Car,2
53,1,2,Employed,1,Suburban,Single,Four-Door Car,2
54,3,2,Disabled,1,Suburban,Married,Four-Door Car,1
55,2,2,Employed,0,Suburban,Divorced,Four-Door Car,1
56,1,2,Employed,1,Urban,Married,Four-Door Car,2
57,1,1,Unemployed,0,Suburban,Married,SUV,1
58,2,1,Disabled,0,Suburban,Divorced,SUV,2
59,3,3,Disabled,0,Suburban,Divorced,Four-Door Car,2
60,1,2,Retired,1,Suburban,Divorced,Four-Door Car,2
61,3,2,Medical Leave,0,Suburban,Married,Two-Door Car,1
62,2,2,Unemployed,1,Suburban,Single,Two-Door Car,1
63,1,1,Employed,0,Rural,Married,SUV,2
64,1,2,Unemployed,0,Suburban,Single,Four-Door Car,3
65,1,2,Employed,1,Suburban,Married,Four-Door Car,2
66,1,2,Employed,0,Suburban,Divorced,SUV,2
67,2,1,Employed,0,Urban,Married,Two-Door Car,1
68,2,2,Unemployed,0,Suburban,Divorced,Two-Door Car,3
69,3,2,Disabled,0,Suburban,Married,Four-Door Car,2
70,1,1,Employed,1,Rural,Divorced,SUV,2
71,1,3,Employed,1,Rural,Married,Two-Door Car,3
72,1,3,Medical Leave,1,Suburban,Married,Four-Door Car,2
73,1,2,Unemployed,1,Suburban,Single,Sports Car,2
74,1,2,Employed,1,Suburban,Divorced,Two-Door Car,2
75,1,2,Employed,1,Suburban,Married,Four-Door Car,1
76,1,1,Employed,0,Rural,Single,Four-Door Car,2
77,1,2,Employed,1,Suburban,Married,Four-Door Car,2
78,2,2,Employed,1,Rural,Married,Four-Door Car,2
79,1,2,Employed,1,Rural,Single,Luxury Car,1
80,2,2,Unemployed,0,Rural,Single,Two-Door Car,3
81,1,1,Employed,1,Suburban,Single,Four-Door Car,2
82,1,4,Employed,1,Suburban,Married,SUV,2
83,1,3,Employed,1,Suburban,Married,Four-Door Car,3
84,2,2,Disabled,0,Suburban,Single,Four-Door Car,1
85,1,1,Employed,1,Suburban,Married,Four-Door Car,2
86,2,2,Retired,1,Suburban,Married,Four-Door Car,2
87,1,2,Employed,0,Urban,Married,Four-Door Car,2
88,1,2,Employed,0,Suburban,Divorced,Four-Door Car,2
89,2,2,Employed,1,Suburban,Married,Four-Door Car,2
90,3,2,Medical Leave,1,Suburban,Married,Two-Door Car,1
91,2,2,Employed,0,Suburban,Married,Two-Door Car,2
92,1,2,Employed,0,Rural,Married,Four-Door Car,2
93,1,2,Employed,1,Suburban,Married,Two-Door Car,1
94,2,1,Unemployed,0,Suburban,Single,Four-Door Car,2
95,1,2,Employed,0,Suburban,Married,Four-Door Car,3
96,1,3,Medical Leave,0,Rural,Married,SUV,2
97,1,2,Medical Leave,1,Suburban,Married,Four-Door Car,2
98,1,2,Employed,0,Urban,Married,Four-Door Car,2
99,2,2,Employed,1,Suburban,Married,Two-Door Car,1
100,1,2,Unemployed,0,Suburban,Married,SUV,2
101,1,2,Unemployed,1,Suburban,Single,Four-Door Car,2
102,1,2,Employed,1,Rural,Single,Two-Door Car,2
103,3,2,Employed,1,Suburban,Married,Four-Door Car,2
104,2,1,Unemployed,0,Suburban,Single,SUV,2
105,2,2,Employed,0,Rural,Married,Four-Door Car,1
106,1,2,Employed,0,Rural,Married,Four-Door Car,2
107,1,1,Unemployed,1,Suburban,Married,SUV,2
108,1,2,Employed,0,Rural,Married,Two-Door Car,2
109,1,2,Employed,1,Urban,Married,Four-Door Car,2
110,2,2,Employed,1,Suburban,Married,Four-Door Car,1
111,2,1,Employed,1,Suburban,Divorced,Four-Door Car,1
112,1,2,Employed,1,Suburban,Married,SUV,2
113,1,2,Employed,1,Suburban,Single,Four-Door Car,2
114,1,1,Employed,1,Suburban,Married,Four-Door Car,2
115,1,1,Unemployed,1,Suburban,Married,SUV,2
116,2,1,Retired,1,Suburban,Divorced,SUV,2
117,2,1,Employed,1,Suburban,Married,Two-Door Car,2
118,1,2,Employed,0,Suburban,Single,Two-Door Car,2
119,2,2,Employed,0,Urban,Married,Four-Door Car,2
120,2,2,Unemployed,1,Suburban,Married,Two-Door Car,2
121,1,2,Employed,1,Rural,Married,Sports Car,2
122,1,1,Employed,0,Suburban,Married,Two-Door Car,1
123,1,1,Employed,1,Suburban,Single,Luxury SUV,2
124,1,2,Employed,0,Rural,Married,Four-Door Car,2
125,3,2,Employed,1,Suburban,Divorced,Four-Door Car,2
126,2,3,Employed,0,Rural,Single,Four-Door Car,2
127,2,2,Employed,1,Urban,Married,Four-Door Car,2
128,1,2,Retired,1,Suburban,Divorced,Four-Door Car,2
129,1,3,Unemployed,0,Rural,Married,Four-Door Car,2
130,1,1,Employed,1,Suburban,Married,Sports Car,2
131,1,2,Employed,0,Rural,Married,Four-Door Car,2
132,1,2,Employed,0,Urban,Married,Four-Door Car,2
133,3,2,Employed,1,Suburban,Married,Four-Door Car,1
134,1,1,Unemployed,0,Suburban,Single,Four-Door Car,1
135,1,1,Unemployed,1,Suburban,Single,SUV,2
136,1,1,Employed,0,Rural,Married,Sports Car,2
137,1,2,Unemployed,0,Suburban,Single,Four-Door Car,1
138,2,2,Employed,0,Urban,Married,Four-Door Car,2
139,2,2,Employed,0,Urban,Single,Four-Door Car,1
140,1,2,Unemployed,1,Suburban,Single,Two-Door Car,3
141,3,3,Employed,1,Urban,Married,SUV,2
142,2,1,Unemployed,0,Suburban,Single,Sports Car,2
143,3,1,Employed,1,Suburban,Married,SUV,2
144,2,1,Unemployed,0,Suburban,Married,Four-Door Car,3
145,2,2,Employed,1,Urban,Married,Four-Door Car,2
146,1,2,Unemployed,0,Suburban,Married,Four-Door Car,2
147,1,2,Employed,0,Suburban,Divorced,Two-Door Car,2
148,2,1,Employed,0,Rural,Married,Four-Door Car,2
149,3,2,Unemployed,1,Suburban,Married,Four-Door Car,3
150,1,2,Employed,1,Suburban,Single,Four-Door Car,1
151,1,1,Employed,1,Rural,Married,Sports Car,2
152,2,1,Disabled,1,Suburban,Married,SUV,2
153,2,2,Medical Leave,0,Rural,Married,SUV,2
154,1,2,Employed,0,Urban,Single,Four-Door Car,2
155,1,1,Employed,1,Suburban,Married,Four-Door Car,1
156,2,2,Employed,1,Rural,Single,Four-Door Car,2
157,2,2,Employed,0,Suburban,Married,Four-Door Car,1
158,1,2,Retired,1,Suburban,Married,Sports Car,2
159,1,2,Employed,0,Rural,Married,Two-Door Car,3
160,1,1,Unemployed,1,Suburban,Married,Two-Door Car,2
161,1,2,Employed,0,Urban,Married,SUV,2
162,1,2,Unemployed,0,Suburban,Divorced,SUV,2
163,1,2,Retired,0,Suburban,Single,Four-Door Car,2
164,2,2,Unemployed,1,Suburban,Single,Four-Door Car,2
165,1,3,Medical Leave,1,Suburban,Married,Four-Door Car,1
166,1,2,Unemployed,0,Suburban,Single,Four-Door Car,1
167,1,1,Unemployed,0,Suburban,Single,Four-Door Car,1
168,2,1,Employed,0,Urban,Divorced,Four-Door Car,2
169,1,1,Unemployed,0,Suburban,Married,Four-Door Car,2
170,1,2,Medical Leave,1,Suburban,Married,Four-Door Car,2
171,3,4,Disabled,0,Urban,Divorced,Four-Door Car,2
172,1,2,Employed,0,Rural,Divorced,Four-Door Car,2
173,1,2,Unemployed,0,Suburban,Married,Four-Door Car,1
174,1,1,Employed,1,Suburban,Single,Four-Door Car,2
175,1,2,Employed,0,Rural,Married,Sports Car,2
176,1,2,Employed,0,Rural,Married,SUV,2
177,1,2,Employed,0,Urban,Married,Two-Door Car,2
178,1,2,Unemployed,0,Suburban,Single,Two-Door Car,2
179,1,2,Employed,0,Suburban,Divorced,Sports Car,1
180,3,2,Unemployed,0,Suburban,Married,Four-Door Car,2
181,2,2,Employed,0,Suburban,Married,Luxury Car,2
182,1,1,Employed,1,Suburban,Married,Four-Door Car,3
183,2,2,Employed,1,Suburban,Single,Four-Door Car,1
184,1,2,Unemployed,1,Suburban,Single,SUV,2
185,1,1,Employed,0,Suburban,Single,SUV,1
