,customer,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Effective To Date
0,BU79786,Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,1,Agent,Two-Door Car,Medsize,2011-02-24
1,QZ44356,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,3,Agent,Four-Door Car,Medsize,2011-01-31
2,AI49188,Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,1,Agent,Two-Door Car,Medsize,2011-02-19
3,WW63253,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,1,Call Center,SUV,Medsize,2011-01-20
4,HB64268,Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L1,1,Agent,Four-Door Car,Medsize,2011-02-03
5,OC83172,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,2,Web,Two-Door Car,Medsize,2011-01-25
6,XZ87318,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,1,Agent,Four-Door Car,Medsize,2011-02-24
7,CF85061,Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate Auto,Corporate L3,1,Agent,Four-Door Car,Medsize,2011-01-18
8,DY87989,Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate Auto,Corporate L3,1,Agent,Four-Door Car,Medsize,2011-01-26
9,BQ94931,Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,Special L2,2,Branch,Four-Door Car,Medsize,2011-02-17
10,SX51350,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,1,Agent,Four-Door Car,Small,2011-02-21
11,VQ65197,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,2,Agent,SUV,Medsize,2011-01-06
12,DP39365,California,No,Premium,Master,Employed,M,Urban,Married,Corporate Auto,Corporate L1,2,Agent,Four-Door Car,Medsize,2011-02-06
13,SJ95423,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,2,Branch,SUV,Medsize,2011-01-10
14,IL66569,California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,Corporate L3,4,Call Center,Four-Door Car,Medsize,2011-01-18
15,BW63560,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L2,2,Branch,Four-Door Car,Medsize,2011-01-17
16,FV94802,Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,2,Call Center,Two-Door Car,Medsize,2011-02-06
17,OE15005,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,3,Call Center,SUV,Medsize,2011-01-05
18,WC83389,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L2,2,Branch,Four-Door Car,Medsize,2011-02-27
19,FL50705,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,1,Call Center,Four-Door Car,Small,2011-01-14
20,ZK25313,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L2,1,Branch,Two-Door Car,Medsize,2011-02-19
21,SV62436,Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,4,Call Center,Four-Door Car,Medsize,2011-01-21
22,YH23384,Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,1,Agent,Four-Door Car,Medsize,2011-01-26
23,TZ98966,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,1,Branch,Four-Door Car,Medsize,2011-02-24
24,HM55802,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Corporate Auto,Corporate L2,2,Branch,Four-Door Car,Medsize,2011-02-05
25,FS42516,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,2,Call Center,Four-Door Car,Large,2011-01-29
26,US89481,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,1,Agent,Four-Door Car,Small,2011-02-28
27,HO30839,Washington,No,Extended,Master,Disabled,F,Urban,Married,Corporate Auto,Corporate L1,1,Branch,SUV,Medsize,2011-02-12
28,GE62437,Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,Personal L3,1,Call Center,Four-Door Car,Large,2011-02-02
29,EJ77678,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Personal L3,2,Branch,Four-Door Car,Small,2011-02-07
30,SV85652,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,4,Call Center,Four-Door Car,Small,2011-02-28
31,UL64533,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,Corporate L2,2,Agent,Luxury SUV,Medsize,2011-01-22
32,PF41800,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,Personal L3,1,Call Center,Four-Door Car,Medsize,2011-01-25
33,AO98601,Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,1,Agent,Two-Door Car,Small,2011-01-18
34,SK67821,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L1,3,Web,Four-Door Car,Medsize,2011-02-13
35,YV55495,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L1,1,Branch,Four-Door Car,Medsize,2011-01-15
36,KY38074,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,1,Agent,Four-Door Car,Small,2011-01-08
37,DM79012,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Personal L3,2,Web,Four-Door Car,Small,2011-02-06
38,CM61827,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,3,Agent,Two-Door Car,Small,2011-01-25
39,WC35801,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Personal L3,1,Call Center,Four-Door Car,Medsize,2011-02-07
40,QG25316,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,3,Call Center,Two-Door Car,Medsize,2011-01-18
41,MB98372,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,Corporate L3,2,Agent,Two-Door Car,Medsize,2011-01-11
42,IL19217,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,2,Agent,Four-Door Car,Small,2011-01-28
43,SR38658,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,4,Agent,Sports Car,Medsize,2011-02-08
44,DH41343,Washington,No,Basic,College,Employed,M,Suburban,Married,Special Auto,Special L2,2,Call Center,Four-Door Car,Large,2011-02-23
45,HG65722,Oregon,No,Premium,Doctor,Disabled,F,Rural,Married,Personal Auto,Personal L2,1,Branch,SUV,Medsize,2011-01-25
46,BU27331,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,3,Call Center,Four-Door Car,Medsize,2011-01-31
47,XM45289,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Personal L2,4,Agent,Two-Door Car,Medsize,2011-01-02
48,KP34198,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,2,Call Center,Four-Door Car,Medsize,2011-02-07
49,SH90947,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,4,Branch,Four-Door Car,Medsize,2011-01-18
50,WE95729,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,1,Agent,SUV,Small,2011-01-17
51,PY51963,California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L1,1,Web,SUV,Medsize,2011-01-11
52,RB69909,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Special L1,4,Branch,Four-Door Car,Medsize,2011-02-21
53,XR95069,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,4,Agent,Four-Door Car,Medsize,2011-02-16
54,FR46645,California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Personal Auto,Personal L2,1,Branch,Four-Door Car,Small,2011-01-17
55,SY17488,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,3,Call Center,Four-Door Car,Small,2011-02-05
56,AP67935,California,No,Basic,College,Employed,M,Urban,Married,Special Auto,Special L2,2,Branch,Four-Door Car,Medsize,2011-02-13
57,FS37417,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,1,Call Center,SUV,Small,2011-02-23
58,ML29312,Oregon,No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,1,Call Center,SUV,Medsize,2011-01-28
59,UB61619,Oregon,No,Premium,Master,Disabled,F,Suburban,Divorced,Personal Auto,Personal L1,1,Agent,Four-Door Car,Medsize,2011-02-28
60,CD86811,Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Personal L1,1,Agent,Four-Door Car,Medsize,2011-01-02
61,RU83859,California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,1,Call Center,Two-Door Car,Small,2011-01-22
62,FG63582,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,1,Agent,Two-Door Car,Small,2011-01-15
63,NN71951,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L3,1,Agent,SUV,Medsize,2011-01-27
64,WB37082,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,3,Branch,Four-Door Car,Large,2011-01-23
65,SM52139,Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,3,Web,Four-Door Car,Medsize,2011-01-31
66,FL82372,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,1,Agent,SUV,Medsize,2011-01-26
67,DP45816,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L3,4,Branch,Two-Door Car,Small,2011-01-10
68,GW33762,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,1,Call Center,Two-Door Car,Large,2011-01-27
69,RZ33670,California,No,Premium,College,Disabled,F,Suburban,Married,Personal Auto,Personal L3,3,Web,Four-Door Car,Medsize,2011-01-09
70,PY70169,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Personal L3,4,Agent,SUV,Medsize,2011-02-24
71,MO91628,Oregon,No,Basic,Master,Employed,M,Rural,Married,Personal Auto,Personal L2,2,Web,Two-Door Car,Large,2011-02-11
72,HW87852,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,1,Agent,Four-Door Car,Medsize,2011-02-12
73,HB20453,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,1,Agent,Sports Car,Medsize,2011-02-04
74,BN87372,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,2,Branch,Two-Door Car,Medsize,2011-01-18
75,YX23800,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,2,Branch,Four-Door Car,Small,2011-02-11
76,DZ87709,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,Personal L1,2,Call Center,Four-Door Car,Medsize,2011-02-01
77,XW13033,Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L1,2,Agent,Four-Door Car,Medsize,2011-02-15
78,LN31673,Washington,No,Extended,College,Employed,M,Rural,Married,Personal Auto,Personal L3,1,Agent,Four-Door Car,Medsize,2011-02-06
79,OM82309,California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L3,2,Branch,Luxury Car,Small,2011-02-27
80,ZU35962,California,No,Extended,College,Unemployed,F,Rural,Single,Personal Auto,Personal L3,3,Branch,Two-Door Car,Large,2011-01-26
