,Effective To Date
0,2011-02-24
1,2011-01-31
2,2011-02-19
3,2011-01-20
4,2011-02-03
5,2011-01-25
6,2011-02-24
7,2011-01-18
8,2011-01-26
9,2011-02-17
10,2011-02-21
11,2011-01-06
12,2011-02-06
13,2011-01-10
14,2011-01-18
15,2011-01-17
16,2011-02-06
17,2011-01-05
18,2011-02-27
19,2011-01-14
20,2011-02-19
21,2011-01-21
22,2011-01-26
23,2011-02-24
24,2011-02-05
25,2011-01-29
26,2011-02-28
27,2011-02-12
28,2011-02-02
29,2011-02-07
30,2011-02-28
31,2011-01-22
32,2011-01-25
33,2011-01-18
34,2011-02-13
35,2011-01-15
36,2011-01-08
37,2011-02-06
38,2011-01-25
39,2011-02-07
40,2011-01-18
41,2011-01-11
42,2011-01-28
43,2011-02-08
44,2011-02-23
45,2011-01-25
46,2011-01-31
47,2011-01-02
48,2011-02-07
49,2011-01-18
50,2011-01-17
51,2011-01-11
52,2011-02-21
53,2011-02-16
54,2011-01-17
55,2011-02-05
56,2011-02-13
57,2011-02-23
58,2011-01-28
59,2011-02-28
60,2011-01-02
61,2011-01-22
62,2011-01-15
63,2011-01-27
64,2011-01-23
65,2011-01-31
66,2011-01-26
67,2011-01-10
68,2011-01-27
69,2011-01-09
70,2011-02-24
71,2011-02-11
72,2011-02-12
73,2011-02-04
74,2011-01-18
75,2011-02-11
76,2011-02-01
77,2011-02-15
78,2011-02-06
79,2011-02-27
80,2011-01-26
81,2011-02-26
82,2011-01-27
83,2011-01-16
84,2011-01-27
85,2011-02-28
86,2011-01-25
87,2011-01-01
88,2011-02-01
89,2011-02-19
90,2011-01-27
91,2011-02-27
92,2011-01-17
93,2011-02-10
94,2011-01-24
95,2011-02-24
96,2011-02-15
97,2011-02-16
98,2011-01-22
99,2011-02-25
100,2011-01-11
101,2011-01-31
102,2011-01-12
103,2011-02-16
104,2011-02-09
105,2011-01-19
106,2011-01-04
107,2011-01-09
108,2011-01-27
109,2011-02-14
110,2011-02-27
111,2011-02-12
112,2011-02-26
113,2011-02-20
114,2011-02-02
115,2011-02-15
116,2011-02-18
117,2011-01-21
118,2011-01-15
119,2011-02-05
120,2011-02-24
121,2011-01-05
122,2011-01-28
123,2011-01-12
124,2011-02-16
125,2011-01-03
126,2011-02-07
127,2011-01-13
128,2011-01-03
129,2011-02-17
130,2011-01-21
131,2011-01-26
132,2011-01-31
133,2011-01-02
134,2011-02-07
135,2011-01-26
136,2011-01-11
137,2011-01-15
138,2011-02-08
139,2011-01-11
140,2011-01-09
141,2011-02-04
142,2011-01-21
143,2011-02-16
144,2011-02-24
145,2011-01-18
146,2011-01-30
147,2011-01-09
148,2011-02-01
149,2011-02-28
150,2011-01-31
151,2011-02-17
152,2011-02-12
153,2011-02-24
154,2011-02-01
155,2011-02-06
156,2011-01-23
157,2011-01-21
158,2011-01-20
159,2011-01-06
160,2011-02-22
161,2011-02-27
162,2011-02-21
163,2011-01-29
164,2011-02-22
165,2011-02-21
166,2011-01-10
167,2011-01-18
168,2011-01-16
169,2011-01-06
170,2011-01-27
171,2011-01-15
172,2011-01-09
173,2011-01-28
174,2011-02-26
175,2011-01-04
176,2011-02-01
177,2011-01-27
178,2011-02-14
179,2011-01-23
180,2011-02-18
181,2011-01-24
182,2011-02-18
183,2011-01-19
184,2011-01-04
185,2011-02-07
186,2011-01-30
187,2011-02-17
188,2011-01-13
189,2011-02-08
190,2011-01-29
191,2011-02-05
192,2011-01-20
193,2011-01-27
194,2011-01-09
195,2011-01-11
196,2011-02-17
197,2011-02-16
198,2011-02-10
199,2011-02-19
200,2011-01-21
201,2011-02-27
202,2011-02-04
203,2011-01-18
204,2011-02-03
205,2011-01-02
206,2011-01-09
207,2011-01-19
208,2011-01-11
209,2011-01-31
210,2011-01-11
211,2011-02-11
212,2011-01-22
213,2011-02-24
214,2011-02-28
215,2011-01-25
216,2011-02-26
217,2011-02-19
218,2011-01-02
219,2011-01-02
220,2011-01-26
221,2011-02-02
222,2011-02-27
223,2011-01-20
224,2011-01-17
225,2011-01-17
226,2011-02-24
227,2011-02-14
228,2011-02-20
229,2011-02-19
230,2011-02-08
231,2011-02-06
232,2011-02-27
233,2011-02-01
234,2011-02-23
235,2011-01-11
236,2011-02-10
237,2011-02-25
238,2011-02-16
239,2011-01-30
240,2011-02-11
241,2011-01-14
242,2011-02-14
243,2011-02-03
244,2011-01-31
245,2011-02-15
246,2011-02-27
247,2011-01-21
248,2011-01-14
249,2011-01-25
250,2011-02-02
251,2011-02-09
252,2011-02-28
253,2011-01-27
254,2011-02-19
255,2011-02-18
256,2011-02-14
257,2011-01-30
258,2011-02-09
259,2011-02-06
260,2011-02-23
261,2011-02-22
262,2011-01-16
263,2011-02-02
264,2011-02-22
265,2011-01-03
266,2011-02-27
267,2011-02-15
268,2011-01-11
269,2011-01-21
270,2011-01-26
271,2011-01-01
272,2011-02-23
273,2011-02-04
274,2011-02-06
275,2011-02-10
276,2011-01-02
277,2011-02-10
278,2011-01-19
279,2011-02-23
280,2011-01-07
281,2011-01-14
282,2011-02-15
283,2011-02-24
284,2011-02-02
285,2011-01-07
286,2011-02-28
287,2011-02-17
288,2011-02-12
289,2011-01-09
290,2011-01-10
291,2011-01-08
292,2011-01-25
293,2011-01-27
294,2011-01-12
295,2011-01-16
296,2011-01-22
297,2011-01-13
298,2011-02-11
299,2011-01-04
300,2011-01-29
301,2011-02-28
302,2011-02-04
303,2011-02-02
304,2011-01-03
305,2011-02-21
306,2011-02-01
307,2011-01-01
308,2011-02-28
309,2011-01-12
310,2011-02-13
311,2011-01-29
312,2011-02-13
313,2011-01-22
314,2011-01-25
315,2011-02-23
316,2011-02-18
317,2011-01-03
318,2011-01-09
319,2011-01-03
320,2011-02-21
321,2011-02-22
322,2011-01-09
323,2011-02-07
324,2011-02-26
325,2011-01-30
326,2011-02-28
327,2011-02-20
328,2011-01-20
329,2011-01-22
330,2011-01-06
331,2011-02-06
332,2011-02-02
333,2011-02-23
334,2011-01-07
335,2011-02-27
336,2011-01-21
337,2011-02-04
338,2011-01-08
339,2011-02-04
340,2011-01-15
341,2011-02-07
342,2011-02-19
343,2011-02-09
344,2011-02-05
345,2011-01-15
346,2011-02-06
347,2011-02-27
348,2011-01-17
349,2011-01-07
350,2011-01-03
351,2011-01-26
352,2011-01-07
353,2011-01-14
354,2011-02-20
355,2011-01-01
356,2011-01-10
357,2011-01-27
358,2011-02-07
359,2011-01-25
360,2011-02-11
361,2011-01-19
362,2011-02-04
363,2011-02-09
364,2011-02-20
365,2011-02-04
366,2011-01-08
367,2011-02-02
368,2011-02-07
369,2011-01-10
370,2011-01-26
371,2011-02-01
372,2011-01-28
373,2011-01-11
374,2011-02-03
375,2011-02-04
376,2011-02-14
377,2011-01-24
378,2011-02-23
379,2011-02-12
380,2011-01-05
381,2011-02-14
382,2011-02-02
383,2011-01-23
384,2011-01-05
385,2011-02-24
386,2011-01-10
387,2011-02-13
388,2011-01-20
389,2011-02-05
390,2011-01-07
391,2011-02-27
392,2011-01-08
393,2011-01-06
394,2011-02-03
395,2011-01-20
396,2011-02-23
397,2011-01-26
398,2011-02-01
399,2011-02-14
400,2011-01-13
401,2011-01-24
402,2011-01-17
403,2011-01-15
404,2011-02-18
405,2011-01-06
406,2011-01-14
407,2011-02-06
408,2011-01-14
409,2011-01-24
410,2011-01-26
411,2011-01-15
412,2011-01-22
413,2011-02-09
414,2011-02-16
415,2011-02-26
416,2011-01-24
417,2011-01-28
418,2011-02-03
419,2011-01-27
420,2011-02-04
421,2011-02-22
422,2011-01-19
423,2011-01-05
424,2011-02-03
425,2011-01-18
426,2011-01-09
427,2011-02-03
428,2011-02-18
429,2011-01-08
430,2011-02-07
431,2011-01-22
432,2011-01-03
433,2011-01-20
434,2011-02-03
435,2011-02-07
436,2011-02-09
437,2011-02-26
438,2011-02-14
439,2011-01-02
440,2011-01-03
441,2011-02-27
442,2011-01-15
443,2011-01-02
444,2011-01-31
445,2011-01-16
446,2011-02-18
447,2011-01-02
448,2011-01-20
449,2011-01-27
450,2011-01-26
451,2011-02-15
452,2011-01-07
453,2011-01-10
454,2011-02-20
455,2011-01-18
456,2011-01-24
457,2011-01-08
458,2011-02-09
459,2011-02-16
460,2011-01-10
461,2011-02-28
462,2011-01-22
463,2011-01-05
464,2011-01-21
465,2011-01-24
466,2011-01-14
467,2011-01-19
468,2011-01-31
469,2011-02-16
470,2011-01-12
471,2011-01-06
472,2011-01-23
473,2011-02-18
474,2011-02-07
475,2011-02-26
476,2011-01-05
477,2011-02-10
478,2011-01-12
479,2011-01-01
480,2011-01-31
481,2011-02-14
482,2011-02-24
483,2011-02-01
484,2011-01-06
485,2011-01-27
486,2011-01-07
487,2011-01-31
488,2011-02-25
489,2011-01-03
490,2011-02-27
491,2011-01-19
492,2011-01-31
493,2011-01-21
494,2011-02-14
